drug_name	search_type	studies_found	pmid	pmc_id	literature_evidence
cholinergic agent	MeSH PA (TB)	1	['25368662']	['PMC4217032']	"[1] Effect of inhaled tiotropium on spirometric parameters in patients with tuberculous destroyed lung.
    Authors: Yum HK, Park IN
    PMID: 25368662 | PMCID: PMC4217032 | DOI: 10.4046/trd.2014.77.4.167 [PMC]"
antiinflammatory agent	MeSH PA (HDT)	2	['23641020', '28713389']	['PMC3699007', 'PMC5492311']	"[1] Adjuvant host-directed therapy with types 3 and 5 but not type 4 phosphodiesterase inhibitors shortens the duration of tuberculosis treatment.
    Authors: Maiga M, Ammerman NC, Maiga MC, Tounkara A, Siddiqui S, Polis M, Murphy R, Bishai WR
    PMID: 23641020 | PMCID: PMC3699007 | DOI: 10.1093/infdis/jit187 [PMC]

[2] Non-Steroidal Anti-inflammatory Drugs As Host-Directed Therapy for Tuberculosis: A Systematic Review.
    Authors: Kroesen VM, Gröschel MI, Martinson N, Zumla A, Maeurer M, van der Werf TS, Vilaplana C
    PMID: 28713389 | PMCID: PMC5492311 | DOI: 10.3389/fimmu.2017.00772 [PMC]"
Null	MeSH PA (HDT)	19	['24990750', '30322337', '39150447', '39911285', '30335800', '37492257', '35967869', '35273609', '30694692', '38683873', '31936156', '30365557', '27297123', '30308157', '36365041', '29441052', '41278998', '35762591', '38236787']	['PMC4809146', 'PMC6550549', 'PMC11329110', 'PMC11795021', 'PMC6193668', 'PMC10365110', 'PMC9366614', 'PMC8901994', 'PMC6680310', 'PMC11081512', 'PMC7168302', 'PMC6221360', 'PMC4906352', 'PMC6201760', 'PMC9697779', 'PMC5797605', 'PMC12633013', 'PMC9426538', 'PMC10796046']	"[1] Host-directed therapy of tuberculosis based on interleukin-1 and type I interferon crosstalk.
    Authors: Mayer-Barber KD, Andrade BB, Oland SD, Amaral EP, Barber DL, Gonzales J, Derrick SC, Shi R, Kumar NP, Wei W, Yuan X, Zhang G, Cai Y, Babu S, Catalfamo M, Salazar AM, Via LE, Barry CE 3rd, Sher A
    PMID: 24990750 | PMCID: PMC4809146 | DOI: 10.1038/nature13489 [PMC]

[2] Autophagy: A new strategy for host-directed therapy of tuberculosis.
    Authors: Paik S, Kim JK, Chung C, Jo EK
    PMID: 30322337 | PMCID: PMC6550549 | DOI: 10.1080/21505594.2018.1536598 [PMC]

[3] Identification of gene targets that potentiate the action of rifampicin on Mycobacterium bovis BCG.
    Authors: Chand P, Mendum TA, Butler RE, Hingley-Wilson SM, Stewart GR
    PMID: 39150447 | PMCID: PMC11329110 | DOI: 10.1099/mic.0.001488 [PMC]

[4] Statistical analysis plan for the LAST ACT clinical trial; a Leukotriene A4 hydrolase Stratified non-inferiority Trial of Adjunctive Corticosteroids for HIV-negative adults with Tuberculous meningitis.
    Authors: Donovan J, Wolbers M, Thuong NTT, Trinh DHK, Nhat LTH, Thwaites GE, Geskus RB
    PMID: 39911285 | PMCID: PMC11795021 | DOI: 10.12688/wellcomeopenres.22498.2 [PMC]

[5] Metformin use is associated with a low risk of tuberculosis among newly diagnosed diabetes mellitus patients with normal renal function: A nationwide cohort study with validated diagnostic criteria.
    Authors: Lee MC, Chiang CY, Lee CH, Ho CM, Chang CH, Wang JY, Chen SM
    PMID: 30335800 | PMCID: PMC6193668 | DOI: 10.1371/journal.pone.0205807 [PMC]

[6] Role of phagocyte extracellular traps during Mycobacterium tuberculosis infections and tuberculosis disease processes.
    Authors: García-Bengoa M, Meurer M, Goethe R, Singh M, Reljic R, von Köckritz-Blickwede M
    PMID: 37492257 | PMCID: PMC10365110 | DOI: 10.3389/fmicb.2023.983299 [PMC]

[7] Pathological and protective roles of dendritic cells in Mycobacterium tuberculosis infection: Interaction between host immune responses and pathogen evasion.
    Authors: Kim H, Shin SJ
    PMID: 35967869 | PMCID: PMC9366614 | DOI: 10.3389/fcimb.2022.891878 [PMC]

[8] Interplay Between the Immune and Endocrine Systems in the Lung: Implications for TB Susceptibility.
    Authors: Webber T, Ronacher K, Conradie-Smit M, Kleynhans L
    PMID: 35273609 | PMCID: PMC8901994 | DOI: 10.3389/fimmu.2022.829355 [PMC]

[9] Spatial Network Mapping of Pulmonary Multidrug-Resistant Tuberculosis Cavities Using RNA Sequencing.
    Authors: Dheda K, Lenders L, Srivastava S, Magombedze G, Wainwright H, Raj P, Bush SJ, Pollara G, Steyn R, Davids M, Pooran A, Pennel T, Linegar A, McNerney R, Moodley L, Pasipanodya JG, Turner CT, Noursadeghi M, Warren RM, Wakeland E, Gumbo T
    PMID: 30694692 | PMCID: PMC6680310 | DOI: 10.1164/rccm.201807-1361OC [PMC]

[10] A host-directed oxadiazole compound potentiates antituberculosis treatment via zinc poisoning in human macrophages and in a mouse model of infection.
    Authors: Maure A, Lawarée E, Fiorentino F, Pawlik A, Gona S, Giraud-Gatineau A, Eldridge MJG, Danckaert A, Hardy D, Frigui W, Keck C, Gutierrez C, Neyrolles O, Aulner N, Mai A, Hamon M, Barreiro LB, Brodin P, Brosch R, Rotili D, Tailleux L
    PMID: 38683873 | PMCID: PMC11081512 | DOI: 10.1371/journal.pbio.3002259 [PMC]

[11] Host-Directed Therapy as a Novel Treatment Strategy to Overcome Tuberculosis: Targeting Immune Modulation.
    Authors: Ahmed S, Raqib R, Guðmundsson GH, Bergman P, Agerberth B, Rekha RS
    PMID: 31936156 | PMCID: PMC7168302 | DOI: 10.3390/antibiotics9010021 [PMC]

[12] Mononuclear cell dynamics in M. tuberculosis infection provide opportunities for therapeutic intervention.
    Authors: Norris BA, Ernst JD
    PMID: 30365557 | PMCID: PMC6221360 | DOI: 10.1371/journal.ppat.1007154 [PMC]

[13] Novel high throughput pooled shRNA screening identifies NQO1 as a potential drug target for host directed therapy for tuberculosis.
    Authors: Li Q, Karim AF, Ding X, Das B, Dobrowolski C, Gibson RM, Quiñones-Mateu ME, Karn J, Rojas RE
    PMID: 27297123 | PMCID: PMC4906352 | DOI: 10.1038/srep27566 [PMC]

[14] Cyclopropane Modification of Trehalose Dimycolate Drives Granuloma Angiogenesis and Mycobacterial Growth through Vegf Signaling.
    Authors: Walton EM, Cronan MR, Cambier CJ, Rossi A, Marass M, Foglia MD, Brewer WJ, Poss KD, Stainier DYR, Bertozzi CR, Tobin DM
    PMID: 30308157 | PMCID: PMC6201760 | DOI: S1931-3128(18)30488-8 [PMC]

[15] Host-Directed Therapies for Tuberculosis.
    Authors: Jeong EK, Lee HJ, Jung YJ
    PMID: 36365041 | PMCID: PMC9697779 | DOI: 10.3390/pathogens11111291 [PMC]

[16] Harnessing the mTOR Pathway for Tuberculosis Treatment.
    Authors: Singh P, Subbian S
    PMID: 29441052 | PMCID: PMC5797605 | DOI: 10.3389/fmicb.2018.00070 [PMC]

[17] Systems-level characterization of EGFR kinase inhibitors reveals heterogeneous effects on Mtb-macrophage interactions.
    Authors: Gunnarsson C, McGinn RA, Hochfelder J, Bryson BD
    PMID: 41278998 | PMCID: PMC12633013 | DOI: 2025.10.17.683041 [PMC]

[18] Glutamine Is Required for M1-like Polarization of Macrophages in Response to Mycobacterium tuberculosis Infection.
    Authors: Jiang Q, Qiu Y, Kurland IJ, Drlica K, Subbian S, Tyagi S, Shi L
    PMID: 35762591 | PMCID: PMC9426538 | DOI: 10.1128/mbio.01274-22 [PMC]

[19] Exposure to Mycobacterium remodels alveolar macrophages and the early innate response to Mycobacterium tuberculosis infection.
    Authors: Mai D, Jahn A, Murray T, Morikubo M, Lim PN, Cervantes MM, Pham LK, Nemeth J, Urdahl K, Diercks AH, Aderem A, Rothchild AC
    PMID: 38236787 | PMCID: PMC10796046 | DOI: 10.1371/journal.ppat.1011871 [PMC]"
adenosinergic agent	No Results	0	[]	[]	No evidence found
nonsteroidal antiinflammatory drug	MeSH PA (HDT)	1	[]	[]	No evidence found
anticoagulant	MeSH PA (HDT)	12	['37721470', '35095865', '30877311', '37370174', '33155730', '32134742', '27036359', '27297123', '35444762', '32849525', '35445169', '39941433']	['PMC10938220', 'PMC8789671', 'PMC6603966', 'PMC10304643', 'PMC8359170', 'PMC7259997', 'PMC7164794', 'PMC4906352', 'PMC8992620', 'PMC7396704', 'PMC8990965', 'PMC11818899']	"[1] The Cyclooxygenase 2 Inhibitor Etoricoxib as Adjunctive Therapy in Tuberculosis Impairs Macrophage Control of Mycobacterial Growth.
    Authors: Nore KG, Louet C, Bugge M, Gidon A, Jørgensen MJ, Jenum S, Dyrhol-Riise AM, Tonby K, Flo TH
    PMID: 37721470 | PMCID: PMC10938220 | DOI: 10.1093/infdis/jiad390 [PMC]

[2] Neutrophil-Mediated Immunopathology and Matrix Metalloproteinases in Central Nervous System - Tuberculosis.
    Authors: Poh XY, Loh FK, Friedland JS, Ong CWM
    PMID: 35095865 | PMCID: PMC8789671 | DOI: 10.3389/fimmu.2021.788976 [PMC]

[3] Thrombocyte Inhibition Restores Protective Immunity to Mycobacterial Infection in Zebrafish.
    Authors: Hortle E, Johnson KE, Johansen MD, Nguyen T, Shavit JA, Britton WJ, Tobin DM, Oehlers SH
    PMID: 30877311 | PMCID: PMC6603966 | DOI: 10.1093/infdis/jiz110 [PMC]

[4] SMA-TB: study protocol for the phase 2b randomized double-blind, placebo-controlled trial to estimate the potential efficacy and safety of two repurposed drugs, acetylsalicylic acid and ibuprofen, for use as adjunct therapy added to, and compared with, the standard WHO recommended TB regimen.
    Authors: Arias L, Otwombe K, Waja Z, Tukvadze N, Korinteli T, Moloantoa T, Fonseca KL, Pillay N, Seiphetlo T, Ouchi-Vernet D, Siles A, Carabias L, Quiñones C, Vashakidze S, Martinson N, Vilaplana C
    PMID: 37370174 | PMCID: PMC10304643 | DOI: 10.1186/s13063-023-07448-0 [PMC]

[5] Monocytic myeloid-derived suppressor cells reflect tuberculosis severity and are influenced by cyclooxygenase-2 inhibitors.
    Authors: Jøntvedt Jørgensen M, Jenum S, Tonby K, Mortensen R, Walzl G, Du Plessis N, Dyrhol-Riise AM
    PMID: 33155730 | PMCID: PMC8359170 | DOI: 10.1002/JLB.4A0720-409RR [PMC]

[6] S100A8/A9 regulates CD11b expression and neutrophil recruitment during chronic tuberculosis.
    Authors: Scott NR, Swanson RV, Al-Hammadi N, Domingo-Gonzalez R, Rangel-Moreno J, Kriel BA, Bucsan AN, Das S, Ahmed M, Mehra S, Treerat P, Cruz-Lagunas A, Jimenez-Alvarez L, Muñoz-Torrico M, Bobadilla-Lozoya K, Vogl T, Walzl G, du Plessis N, Kaushal D, Scriba TJ, Zúñiga J, Khader SA
    PMID: 32134742 | PMCID: PMC7259997 | DOI: 130546 [PMC]

[7] Host-directed therapies for infectious diseases: current status, recent progress, and future prospects.
    Authors: Zumla A, Rao M, Wallis RS, Kaufmann SH, Rustomjee R, Mwaba P, Vilaplana C, Yeboah-Manu D, Chakaya J, Ippolito G, Azhar E, Hoelscher M, Maeurer M
    PMID: 27036359 | PMCID: PMC7164794 | DOI: S1473-3099(16)00078-5 [PMC]

[8] Novel high throughput pooled shRNA screening identifies NQO1 as a potential drug target for host directed therapy for tuberculosis.
    Authors: Li Q, Karim AF, Ding X, Das B, Dobrowolski C, Gibson RM, Quiñones-Mateu ME, Karn J, Rojas RE
    PMID: 27297123 | PMCID: PMC4906352 | DOI: 10.1038/srep27566 [PMC]

[9] The Dark Side of the COVID-19 Treatments on Mycobacterium Tuberculosis Infection.
    Authors: De Maio F, Bianco DM, Delogu G
    PMID: 35444762 | PMCID: PMC8992620 | DOI: 10.4084/MJHID.2022.021 [PMC]

[10] Host-Pathogen Interaction as a Novel Target for Host-Directed Therapies in Tuberculosis.
    Authors: Abreu R, Giri P, Quinn F
    PMID: 32849525 | PMCID: PMC7396704 | DOI: 10.3389/fimmu.2020.01553 [PMC]

[11] Investigating neutrophil cell death in TB pathogenesis.
    Authors: Fisher KL, Rajkumar-Bhugeloo K, Moodley D, Mpotje T, Ramsuran D, Ndung'u T, Marakalala MJ
    PMID: 35445169 | PMCID: PMC8990965 | DOI: 10.12688/gatesopenres.13472.2 [PMC]

[12] Hypercoagulability in Tuberculosis: Pathophysiological Mechanisms, Associated Risks, and Advances in Management-A Narrative Review.
    Authors: Mitroi DM, Balteanu MA, Cioboata R, Vlasceanu SG, Zlatian OM, Catana OM, Mirea AA, Mogos GFR, Rotaru I, Biciusca V
    PMID: 39941433 | PMCID: PMC11818899 | DOI: 10.3390/jcm14030762 [PMC]"
antipsychotic agent	MeSH PA (HDT)	2	['26829287', '34608194']	['PMC5285306', 'PMC8490354']	"[1] Targeted pulmonary delivery of inducers of host macrophage autophagy as a potential host-directed chemotherapy of tuberculosis.
    Authors: Gupta A, Misra A, Deretic V
    PMID: 26829287 | PMCID: PMC5285306 | DOI: S0169-409X(16)30035-7 [PMC]

[2] Repurposing diphenylbutylpiperidine-class antipsychotic drugs for host-directed therapy of Mycobacterium tuberculosis and Salmonella enterica infections.
    Authors: Heemskerk MT, Korbee CJ, Esselink JJ, Dos Santos CC, van Veen S, Gordijn IF, Vrieling F, Walburg KV, Engele CG, Dijkman K, Wilson L, Verreck FAW, Ottenhoff THM, Haks MC
    PMID: 34608194 | PMCID: PMC8490354 | DOI: 10.1038/s41598-021-98980-z [PMC]"
diuretic	MeSH PA (HDT)	1	['38912807']	['PMC11302300']	"[1] PDCD4 as a marker of mTOR pathway activation and therapeutic target in mycobacterial infections.
    Authors: Paroha R, Wang J, Lee S
    PMID: 38912807 | PMCID: PMC11302300 | DOI: 10.1128/spectrum.00062-24 [PMC]"
antiulcer agent	MeSH PA (TB)	2	['30727781', '32656177']	['PMC6366436', 'PMC7325987']	"[1] Inhibition of α-, β-, γ-, δ-, ζ- and η-class carbonic anhydrases from bacteria, fungi, algae, diatoms and protozoans with famotidine.
    Authors: Angeli A, Pinteala M, Maier SS, Del Prete S, Capasso C, Simionescu BC, Supuran CT
    PMID: 30727781 | PMCID: PMC6366436 | DOI: 10.1080/14756366.2019.1571273 [PMC]

[2] Synthesis and Antimycobacterial Activity of 2,5-Disubstituted and 1,2,5-Trisubstituted Benzimidazoles.
    Authors: Jiménez-Juárez R, Cruz-Chávez W, de Jesús-Ramírez N, Castro-Ramírez GI, Uribe-González I, Martínez-Mejía G, Ruiz-Nicolás R, Aguirre-Alvarado C, Castrejón-Jiménez NS, García-Pérez BE
    PMID: 32656177 | PMCID: PMC7325987 | DOI: 10.3389/fchem.2020.00433 [PMC]"
epigenetic modulator	MeSH PA (HDT)	1	['39519352']	['PMC11546203']	"[1] Epigenetic Mechanisms Induced by Mycobacterium tuberculosis to Promote Its Survival in the Host.
    Authors: Thomas SS, Abhinand K, Menon AM, Nair BG, Kumar GB, Arun KB, Edison LK, Madhavan A
    PMID: 39519352 | PMCID: PMC11546203 | DOI: 10.3390/ijms252111801 [PMC]"
respiratory agent	MeSH PA (TB)	1	['25949997']	['PMC4407408']	"[1] Transgenic carrot expressing fusion protein comprising M. tuberculosis antigens induces immune response in mice.
    Authors: Permyakova NV, Zagorskaya AA, Belavin PA, Uvarova EA, Nosareva OV, Nesterov AE, Novikovskaya AA, Zav'yalov EL, Moshkin MP, Deineko EV
    PMID: 25949997 | PMCID: PMC4407408 | DOI: 10.1155/2015/417565 [PMC]"
urologic agent	No Results	0	[]	[]	No evidence found
antihyperlipidemic agent	MeSH PA (TB)	1	['36386956']	['PMC9650110']	"[1] Traditional uses, phytochemistry, pharmacology and toxicology of garlic (Allium sativum), a storehouse of diverse phytochemicals: A review of research from the last decade focusing on health and nutritional implications.
    Authors: Tudu CK, Dutta T, Ghorai M, Biswas P, Samanta D, Oleksak P, Jha NK, Kumar M, Radha, Proćków J, Pérez de la Lastra JM, Dey A
    PMID: 36386956 | PMCID: PMC9650110 | DOI: 10.3389/fnut.2022.929554 [PMC]"
pharmacologic agent	MeSH PA (TB)	4	['32854338', '27433170', '9560264', '32364055']	['PMC7564318', 'PMC4943894', 'PMC20249', 'PMC7226692']	"[1] Formation and Maturation of the Phagosome: A Key Mechanism in Innate Immunity against Intracellular Bacterial Infection.
    Authors: Lee HJ, Woo Y, Hahn TW, Jung YM, Jung YJ
    PMID: 32854338 | PMCID: PMC7564318 | DOI: 10.3390/microorganisms8091298 [PMC]

[2] Korean Asthma Guideline 2014: Summary of Major Updates to the Korean Asthma Guideline 2014.
    Authors: Kim DK, Park YB, Oh YM, Jung KS, Yoo JH, Yoo KH, Kim KH
    PMID: 27433170 | PMCID: PMC4943894 | DOI: 10.4046/trd.2016.79.3.111 [PMC]

[3] Lipophilic siderophores of Mycobacterium tuberculosis prevent cardiac reperfusion injury.
    Authors: Horwitz LD, Sherman NA, Kong Y, Pike AW, Gobin J, Fennessey PV, Horwitz MA
    PMID: 9560264 | PMCID: PMC20249 | DOI: 10.1073/pnas.95.9.5263 [PMC]

[4] Pancreatogenic diabetes, acute pancreatitis management, and pancreatic tuberculosis: Appraising the present and setting goals for the future.
    Authors: Machicado JD, Papachristou GI
    PMID: 32364055 | PMCID: PMC7226692 | DOI: 10.1177/2050640620917017 [PMC]"
